code,MAE_LSTM,RMSE_LSTM,MAE_GARCH,RMSE_GARCH
1216,0.5445140600204468,0.6743692755699158,0.5485085844993591,0.6820738315582275
1301,0.8636114597320557,1.055174708366394,0.8762712478637695,1.078546166419983
1303,0.9489121437072754,1.136326789855957,0.9601454138755798,1.1501030921936035
2002,0.6847662329673767,0.8577181100845337,0.6866925358772278,0.863982617855072
2059,1.1607874631881714,1.3887789249420166,1.1810015439987183,1.4170018434524536
2207,0.7139323353767395,0.8677332401275635,0.7231748700141907,0.8825575709342957
2301,1.0433992147445679,1.2414577007293701,1.0498870611190796,1.2475385665893555
2303,0.7983280420303345,0.950559139251709,0.8170953989028931,0.9747176766395569
2308,1.0538564920425415,1.2288107872009277,1.067347526550293,1.2464393377304077
2317,0.9737511277198792,1.1881201267242432,0.9850314259529114,1.2150934934616089
2327,0.9542645812034607,1.1352717876434326,0.9699369072914124,1.1520271301269531
2330,0.9093312621116638,1.092473030090332,0.9088300466537476,1.089837670326233
2345,1.1087687015533447,1.312111496925354,1.1196588277816772,1.3297722339630127
2357,1.040183186531067,1.217261552810669,1.0453815460205078,1.2181895971298218
2379,0.9152407050132751,1.07697331905365,0.9120796322822571,1.0735936164855957
2382,1.0615123510360718,1.2546970844268799,1.068758249282837,1.2685129642486572
2383,1.1755996942520142,1.3964440822601318,1.1919015645980835,1.413443684577942
2395,0.8721899390220642,1.0395545959472656,0.8813121318817139,1.0426667928695679
2412,0.25371962785720825,0.3520704507827759,0.2615495026111603,0.36577698588371277
2454,1.029480218887329,1.1909641027450562,1.0340521335601807,1.1993886232376099
2603,1.0240002870559692,1.2227197885513306,1.0446815490722656,1.2535173892974854
2609,1.0834808349609375,1.2994880676269531,1.093719482421875,1.3239362239837646
2615,1.1093262434005737,1.3307256698608398,1.118981122970581,1.348950743675232
2880,0.5496221780776978,0.7057197093963623,0.5522464513778687,0.7114881277084351
2881,0.650630533695221,0.8171201348304749,0.6598080396652222,0.8351045846939087
2882,0.6990458965301514,0.8973639607429504,0.7090858817100525,0.9102783799171448
2883,0.7149603962898254,0.888221025466919,0.7154985666275024,0.8890195488929749
2884,0.5436511635780334,0.69598388671875,0.5538680553436279,0.7100064158439636
2885,0.6451225876808167,0.7954882979393005,0.6572471261024475,0.8183317184448242
2886,0.48466193675994873,0.6342220902442932,0.49081364274024963,0.6415642499923706
2887,0.6154593229293823,0.821590006351471,0.6303420662879944,0.8327836990356445
2890,0.6158937811851501,0.7558386921882629,0.6439223289489746,0.7863202691078186
2891,0.6604100465774536,0.8349422216415405,0.6665655374526978,0.8478395938873291
2892,0.43562519550323486,0.5813096165657043,0.44627946615219116,0.6071978807449341
2912,0.4033146798610687,0.5314713716506958,0.4058469235897064,0.5384788513183594
3008,0.936202883720398,1.129379391670227,0.9360012412071228,1.1315535306930542
3017,1.2368342876434326,1.4436503648757935,1.247363805770874,1.4627763032913208
3034,0.7844319343566895,0.9605827331542969,0.7908655405044556,0.9714937210083008
3045,0.43690863251686096,0.6022844314575195,0.4333238899707794,0.5734009146690369
3231,1.045420527458191,1.2379599809646606,1.0562843084335327,1.2525043487548828
3661,1.2370531558990479,1.491942286491394,1.2509186267852783,1.5094571113586426
4904,0.5748347043991089,0.7190485000610352,0.568813681602478,0.7142841815948486
4938,0.8486920595169067,1.031507134437561,0.8542227149009705,1.0418936014175415
5871,0.837660014629364,1.0111973285675049,0.86637943983078,1.0530959367752075
5880,0.42811819911003113,0.6000360250473022,0.43673190474510193,0.6058028936386108
6505,0.9280821681022644,1.113369107246399,0.946674108505249,1.1313748359680176
