model_type,lambda,code,MAE_model,RMSE_model,MAE_garch,RMSE_garch
tsmixer,0,1216,0.5319581031799316,0.6515753865242004,0.5485085844993591,0.6820738315582275
tsmixer,0,1301,0.8303049206733704,1.0114768743515015,0.8762712478637695,1.078546166419983
tsmixer,0,1303,0.915154218673706,1.1005483865737915,0.9601454138755798,1.1501030921936035
tsmixer,0,2002,0.6727630496025085,0.841002345085144,0.6866925358772278,0.863982617855072
tsmixer,0,2059,1.1693110466003418,1.3976751565933228,1.1810015439987183,1.4170018434524536
tsmixer,0,2207,0.6806692481040955,0.831378161907196,0.7231748700141907,0.8825575709342957
tsmixer,0,2301,0.9789207577705383,1.172326922416687,1.0498870611190796,1.2475385665893555
tsmixer,0,2303,0.8147334456443787,0.9632105231285095,0.8170953989028931,0.9747176766395569
tsmixer,0,2308,1.02528977394104,1.1891616582870483,1.067347526550293,1.2464393377304077
tsmixer,0,2317,0.9126576781272888,1.0988290309906006,0.9850314259529114,1.2150934934616089
tsmixer,0,2327,0.9388158321380615,1.1046112775802612,0.9699369072914124,1.1520271301269531
tsmixer,0,2330,0.826589822769165,0.9943790435791016,0.9088300466537476,1.089837670326233
tsmixer,0,2345,1.0912761688232422,1.291662335395813,1.1196588277816772,1.3297722339630127
tsmixer,0,2357,0.9540512561798096,1.125260829925537,1.0453815460205078,1.2181895971298218
tsmixer,0,2379,0.907721221446991,1.0520976781845093,0.9120796322822571,1.0735936164855957
tsmixer,0,2382,1.040095329284668,1.2194119691848755,1.068758249282837,1.2685129642486572
tsmixer,0,2383,1.1426390409469604,1.3510175943374634,1.1919015645980835,1.413443684577942
tsmixer,0,2395,0.824590265750885,0.981679379940033,0.8813121318817139,1.0426667928695679
tsmixer,0,2412,0.24018354713916779,0.3328467607498169,0.2615495026111603,0.36577698588371277
tsmixer,0,2454,1.0116220712661743,1.1664118766784668,1.0340521335601807,1.1993886232376099
tsmixer,0,2603,1.0013700723648071,1.1880301237106323,1.0446815490722656,1.2535173892974854
tsmixer,0,2609,1.0004689693450928,1.19913911819458,1.093719482421875,1.3239362239837646
tsmixer,0,2615,1.176214337348938,1.3908518552780151,1.118981122970581,1.348950743675232
tsmixer,0,2880,0.5210202932357788,0.6594418287277222,0.5522464513778687,0.7114881277084351
tsmixer,0,2881,0.657199501991272,0.8041713833808899,0.6598080396652222,0.8351045846939087
tsmixer,0,2882,0.6857433915138245,0.8677612543106079,0.7090858817100525,0.9102783799171448
tsmixer,0,2883,0.7411431670188904,0.8974635004997253,0.7154985666275024,0.8890195488929749
tsmixer,0,2884,0.5364269614219666,0.6722808480262756,0.5538680553436279,0.7100064158439636
tsmixer,0,2885,0.6559349298477173,0.7900152802467346,0.6572471261024475,0.8183317184448242
tsmixer,0,2886,0.4496419429779053,0.5938721299171448,0.49081364274024963,0.6415642499923706
tsmixer,0,2887,0.5415561199188232,0.7265800833702087,0.6303420662879944,0.8327836990356445
tsmixer,0,2890,0.5943936705589294,0.7290339469909668,0.6439223289489746,0.7863202691078186
tsmixer,0,2891,0.6167392730712891,0.7749826312065125,0.6665655374526978,0.8478395938873291
tsmixer,0,2892,0.42673447728157043,0.5529964566230774,0.44627946615219116,0.6071978807449341
tsmixer,0,2912,0.38145142793655396,0.5106277465820312,0.4058469235897064,0.5384788513183594
tsmixer,0,3008,0.9253877997398376,1.1069519519805908,0.9360012412071228,1.1315535306930542
tsmixer,0,3017,1.2188985347747803,1.412380576133728,1.247363805770874,1.4627763032913208
tsmixer,0,3034,0.776849091053009,0.929294228553772,0.7908655405044556,0.9714937210083008
tsmixer,0,3045,0.42396342754364014,0.5623956918716431,0.4333238899707794,0.5734009146690369
tsmixer,0,3231,1.0449515581130981,1.2379668951034546,1.0562843084335327,1.2525043487548828
tsmixer,0,3661,1.194202184677124,1.43462336063385,1.2509186267852783,1.5094571113586426
tsmixer,0,4904,0.5410698056221008,0.6743199229240417,0.568813681602478,0.7142841815948486
tsmixer,0,4938,0.7922002673149109,0.9650559425354004,0.8542227149009705,1.0418936014175415
tsmixer,0,5871,0.8554187417030334,1.0179520845413208,0.86637943983078,1.0530959367752075
tsmixer,0,5880,0.3875250816345215,0.5353101491928101,0.43673190474510193,0.6058028936386108
tsmixer,0,6505,0.8736419677734375,1.049712061882019,0.946674108505249,1.1313748359680176
lstm,0,1216,0.5445140600204468,0.6743692755699158,0.5485085844993591,0.6820738315582275
lstm,0,1301,0.8636114597320557,1.055174708366394,0.8762712478637695,1.078546166419983
lstm,0,1303,0.9489121437072754,1.136326789855957,0.9601454138755798,1.1501030921936035
lstm,0,2002,0.6847662329673767,0.8577181100845337,0.6866925358772278,0.863982617855072
lstm,0,2059,1.1607874631881714,1.3887789249420166,1.1810015439987183,1.4170018434524536
lstm,0,2207,0.7139323353767395,0.8677332401275635,0.7231748700141907,0.8825575709342957
lstm,0,2301,1.0433992147445679,1.2414577007293701,1.0498870611190796,1.2475385665893555
lstm,0,2303,0.7983280420303345,0.950559139251709,0.8170953989028931,0.9747176766395569
lstm,0,2308,1.0538564920425415,1.2288107872009277,1.067347526550293,1.2464393377304077
lstm,0,2317,0.9737511277198792,1.1881201267242432,0.9850314259529114,1.2150934934616089
lstm,0,2327,0.9542645812034607,1.1352717876434326,0.9699369072914124,1.1520271301269531
lstm,0,2330,0.9093312621116638,1.092473030090332,0.9088300466537476,1.089837670326233
lstm,0,2345,1.1087687015533447,1.312111496925354,1.1196588277816772,1.3297722339630127
lstm,0,2357,1.040183186531067,1.217261552810669,1.0453815460205078,1.2181895971298218
lstm,0,2379,0.9152407050132751,1.07697331905365,0.9120796322822571,1.0735936164855957
lstm,0,2382,1.0615123510360718,1.2546970844268799,1.068758249282837,1.2685129642486572
lstm,0,2383,1.1755996942520142,1.3964440822601318,1.1919015645980835,1.413443684577942
lstm,0,2395,0.8721899390220642,1.0395545959472656,0.8813121318817139,1.0426667928695679
lstm,0,2412,0.25371962785720825,0.3520704507827759,0.2615495026111603,0.36577698588371277
lstm,0,2454,1.029480218887329,1.1909641027450562,1.0340521335601807,1.1993886232376099
lstm,0,2603,1.0240002870559692,1.2227197885513306,1.0446815490722656,1.2535173892974854
lstm,0,2609,1.0834808349609375,1.2994880676269531,1.093719482421875,1.3239362239837646
lstm,0,2615,1.1093262434005737,1.3307256698608398,1.118981122970581,1.348950743675232
lstm,0,2880,0.5496221780776978,0.7057197093963623,0.5522464513778687,0.7114881277084351
lstm,0,2881,0.650630533695221,0.8171201348304749,0.6598080396652222,0.8351045846939087
lstm,0,2882,0.6990458965301514,0.8973639607429504,0.7090858817100525,0.9102783799171448
lstm,0,2883,0.7149603962898254,0.888221025466919,0.7154985666275024,0.8890195488929749
lstm,0,2884,0.5436511635780334,0.69598388671875,0.5538680553436279,0.7100064158439636
lstm,0,2885,0.6451225876808167,0.7954882979393005,0.6572471261024475,0.8183317184448242
lstm,0,2886,0.48466193675994873,0.6342220902442932,0.49081364274024963,0.6415642499923706
lstm,0,2887,0.6154593229293823,0.821590006351471,0.6303420662879944,0.8327836990356445
lstm,0,2890,0.6158937811851501,0.7558386921882629,0.6439223289489746,0.7863202691078186
lstm,0,2891,0.6604100465774536,0.8349422216415405,0.6665655374526978,0.8478395938873291
lstm,0,2892,0.43562519550323486,0.5813096165657043,0.44627946615219116,0.6071978807449341
lstm,0,2912,0.4033146798610687,0.5314713716506958,0.4058469235897064,0.5384788513183594
lstm,0,3008,0.936202883720398,1.129379391670227,0.9360012412071228,1.1315535306930542
lstm,0,3017,1.2368342876434326,1.4436503648757935,1.247363805770874,1.4627763032913208
lstm,0,3034,0.7844319343566895,0.9605827331542969,0.7908655405044556,0.9714937210083008
lstm,0,3045,0.43690863251686096,0.6022844314575195,0.4333238899707794,0.5734009146690369
lstm,0,3231,1.045420527458191,1.2379599809646606,1.0562843084335327,1.2525043487548828
lstm,0,3661,1.2370531558990479,1.491942286491394,1.2509186267852783,1.5094571113586426
lstm,0,4904,0.5748347043991089,0.7190485000610352,0.568813681602478,0.7142841815948486
lstm,0,4938,0.8486920595169067,1.031507134437561,0.8542227149009705,1.0418936014175415
lstm,0,5871,0.837660014629364,1.0111973285675049,0.86637943983078,1.0530959367752075
lstm,0,5880,0.42811819911003113,0.6000360250473022,0.43673190474510193,0.6058028936386108
lstm,0,6505,0.9280821681022644,1.113369107246399,0.946674108505249,1.1313748359680176
tsmixer,0.01,1216,0.5408082008361816,0.6629977226257324,0.5485085844993591,0.6820738315582275
tsmixer,0.01,1301,0.8346331119537354,1.017765998840332,0.8762712478637695,1.078546166419983
tsmixer,0.01,1303,0.9141183495521545,1.0990949869155884,0.9601454138755798,1.1501030921936035
tsmixer,0.01,2002,0.6674623489379883,0.8439231514930725,0.6866925358772278,0.863982617855072
tsmixer,0.01,2059,1.1702486276626587,1.3985302448272705,1.1810015439987183,1.4170018434524536
tsmixer,0.01,2207,0.6875771284103394,0.8368223309516907,0.7231748700141907,0.8825575709342957
tsmixer,0.01,2301,0.9845060110092163,1.1716647148132324,1.0498870611190796,1.2475385665893555
tsmixer,0.01,2303,0.8166366815567017,0.9636143445968628,0.8170953989028931,0.9747176766395569
tsmixer,0.01,2308,1.0130034685134888,1.1753522157669067,1.067347526550293,1.2464393377304077
tsmixer,0.01,2317,0.9224838614463806,1.1054303646087646,0.9850314259529114,1.2150934934616089
tsmixer,0.01,2327,0.9360664486885071,1.1009325981140137,0.9699369072914124,1.1520271301269531
tsmixer,0.01,2330,0.8331696391105652,1.002244234085083,0.9088300466537476,1.089837670326233
tsmixer,0.01,2345,1.0905851125717163,1.2914561033248901,1.1196588277816772,1.3297722339630127
tsmixer,0.01,2357,0.9544245004653931,1.1244404315948486,1.0453815460205078,1.2181895971298218
tsmixer,0.01,2379,0.898474931716919,1.044126272201538,0.9120796322822571,1.0735936164855957
tsmixer,0.01,2382,1.0417934656143188,1.2224513292312622,1.068758249282837,1.2685129642486572
tsmixer,0.01,2383,1.1331690549850464,1.3389767408370972,1.1919015645980835,1.413443684577942
tsmixer,0.01,2395,0.8128139972686768,0.9720479249954224,0.8813121318817139,1.0426667928695679
tsmixer,0.01,2412,0.24077542126178741,0.3334258496761322,0.2615495026111603,0.36577698588371277
tsmixer,0.01,2454,1.0192571878433228,1.1751455068588257,1.0340521335601807,1.1993886232376099
tsmixer,0.01,2603,1.0072132349014282,1.1927188634872437,1.0446815490722656,1.2535173892974854
tsmixer,0.01,2609,1.0109719038009644,1.209360122680664,1.093719482421875,1.3239362239837646
tsmixer,0.01,2615,1.184688925743103,1.3975902795791626,1.118981122970581,1.348950743675232
tsmixer,0.01,2880,0.5256131887435913,0.6645827293395996,0.5522464513778687,0.7114881277084351
tsmixer,0.01,2881,0.66217041015625,0.8062627911567688,0.6598080396652222,0.8351045846939087
tsmixer,0.01,2882,0.6887841820716858,0.8727176189422607,0.7090858817100525,0.9102783799171448
tsmixer,0.01,2883,0.7366669178009033,0.8922117948532104,0.7154985666275024,0.8890195488929749
tsmixer,0.01,2884,0.5389389395713806,0.6744586825370789,0.5538680553436279,0.7100064158439636
tsmixer,0.01,2885,0.6542010307312012,0.7864604592323303,0.6572471261024475,0.8183317184448242
tsmixer,0.01,2886,0.4491325616836548,0.5930200815200806,0.49081364274024963,0.6415642499923706
tsmixer,0.01,2887,0.5567611455917358,0.7372424602508545,0.6303420662879944,0.8327836990356445
tsmixer,0.01,2890,0.5890399217605591,0.7201470136642456,0.6439223289489746,0.7863202691078186
tsmixer,0.01,2891,0.6058488488197327,0.7658061385154724,0.6665655374526978,0.8478395938873291
tsmixer,0.01,2892,0.42925697565078735,0.555453360080719,0.44627946615219116,0.6071978807449341
tsmixer,0.01,2912,0.387123167514801,0.5151686668395996,0.4058469235897064,0.5384788513183594
tsmixer,0.01,3008,0.9327393174171448,1.1131232976913452,0.9360012412071228,1.1315535306930542
tsmixer,0.01,3017,1.218104600906372,1.4122111797332764,1.247363805770874,1.4627763032913208
tsmixer,0.01,3034,0.7820658683776855,0.9339526295661926,0.7908655405044556,0.9714937210083008
tsmixer,0.01,3045,0.4279351830482483,0.562517523765564,0.4333238899707794,0.5734009146690369
tsmixer,0.01,3231,1.047392725944519,1.245504379272461,1.0562843084335327,1.2525043487548828
tsmixer,0.01,3661,1.2109463214874268,1.4556301832199097,1.2509186267852783,1.5094571113586426
tsmixer,0.01,4904,0.5409396290779114,0.67494797706604,0.568813681602478,0.7142841815948486
tsmixer,0.01,4938,0.7903363704681396,0.960700511932373,0.8542227149009705,1.0418936014175415
tsmixer,0.01,5871,0.8478575944900513,1.0091958045959473,0.86637943983078,1.0530959367752075
tsmixer,0.01,5880,0.38774195313453674,0.5367292761802673,0.43673190474510193,0.6058028936386108
tsmixer,0.01,6505,0.8799428939819336,1.0565922260284424,0.946674108505249,1.1313748359680176
lstm,0.01,1216,0.5411018133163452,0.6708519458770752,0.5485085844993591,0.6820738315582275
lstm,0.01,1301,0.8593494892120361,1.0498783588409424,0.8762712478637695,1.078546166419983
lstm,0.01,1303,0.9423788189888,1.129402756690979,0.9601454138755798,1.1501030921936035
lstm,0.01,2002,0.6817265748977661,0.8537572622299194,0.6866925358772278,0.863982617855072
lstm,0.01,2059,1.1517411470413208,1.3777744770050049,1.1810015439987183,1.4170018434524536
lstm,0.01,2207,0.7111043930053711,0.8654590249061584,0.7231748700141907,0.8825575709342957
lstm,0.01,2301,1.0339272022247314,1.2302838563919067,1.0498870611190796,1.2475385665893555
lstm,0.01,2303,0.7942562103271484,0.9448350667953491,0.8170953989028931,0.9747176766395569
lstm,0.01,2308,1.0456583499908447,1.2193509340286255,1.067347526550293,1.2464393377304077
lstm,0.01,2317,0.9692884087562561,1.1833547353744507,0.9850314259529114,1.2150934934616089
lstm,0.01,2327,0.951290488243103,1.131130337715149,0.9699369072914124,1.1520271301269531
lstm,0.01,2330,0.9044421315193176,1.0875461101531982,0.9088300466537476,1.089837670326233
lstm,0.01,2345,1.1024541854858398,1.3047451972961426,1.1196588277816772,1.3297722339630127
lstm,0.01,2357,1.0326036214828491,1.208037257194519,1.0453815460205078,1.2181895971298218
lstm,0.01,2379,0.9106460809707642,1.0719950199127197,0.9120796322822571,1.0735936164855957
lstm,0.01,2382,1.0562589168548584,1.247268557548523,1.068758249282837,1.2685129642486572
lstm,0.01,2383,1.1699105501174927,1.3891119956970215,1.1919015645980835,1.413443684577942
lstm,0.01,2395,0.8686116337776184,1.0353906154632568,0.8813121318817139,1.0426667928695679
lstm,0.01,2412,0.2522872984409332,0.34940579533576965,0.2615495026111603,0.36577698588371277
lstm,0.01,2454,1.0218167304992676,1.18412446975708,1.0340521335601807,1.1993886232376099
lstm,0.01,2603,1.0182757377624512,1.2149677276611328,1.0446815490722656,1.2535173892974854
lstm,0.01,2609,1.0768805742263794,1.2894599437713623,1.093719482421875,1.3239362239837646
lstm,0.01,2615,1.097716212272644,1.317396640777588,1.118981122970581,1.348950743675232
lstm,0.01,2880,0.5448896288871765,0.6996490955352783,0.5522464513778687,0.7114881277084351
lstm,0.01,2881,0.6457168459892273,0.8110267519950867,0.6598080396652222,0.8351045846939087
lstm,0.01,2882,0.6954255104064941,0.8941056132316589,0.7090858817100525,0.9102783799171448
lstm,0.01,2883,0.709255576133728,0.881164014339447,0.7154985666275024,0.8890195488929749
lstm,0.01,2884,0.540768563747406,0.6924911141395569,0.5538680553436279,0.7100064158439636
lstm,0.01,2885,0.6416311860084534,0.792102575302124,0.6572471261024475,0.8183317184448242
lstm,0.01,2886,0.48244112730026245,0.6323504447937012,0.49081364274024963,0.6415642499923706
lstm,0.01,2887,0.6103065013885498,0.8162017464637756,0.6303420662879944,0.8327836990356445
lstm,0.01,2890,0.6133180856704712,0.7528513669967651,0.6439223289489746,0.7863202691078186
lstm,0.01,2891,0.6566763520240784,0.8302164077758789,0.6665655374526978,0.8478395938873291
lstm,0.01,2892,0.43392038345336914,0.5785580277442932,0.44627946615219116,0.6071978807449341
lstm,0.01,2912,0.40048277378082275,0.5282174348831177,0.4058469235897064,0.5384788513183594
lstm,0.01,3008,0.9315051436424255,1.1242674589157104,0.9360012412071228,1.1315535306930542
lstm,0.01,3017,1.2288479804992676,1.434184193611145,1.247363805770874,1.4627763032913208
lstm,0.01,3034,0.7792346477508545,0.9528259038925171,0.7908655405044556,0.9714937210083008
lstm,0.01,3045,0.4359098970890045,0.6012964248657227,0.4333238899707794,0.5734009146690369
lstm,0.01,3231,1.036872148513794,1.227790355682373,1.0562843084335327,1.2525043487548828
lstm,0.01,3661,1.2300591468811035,1.4827724695205688,1.2509186267852783,1.5094571113586426
lstm,0.01,4904,0.5714992880821228,0.7139669060707092,0.568813681602478,0.7142841815948486
lstm,0.01,4938,0.8434034585952759,1.0263171195983887,0.8542227149009705,1.0418936014175415
lstm,0.01,5871,0.8368481397628784,1.008567214012146,0.86637943983078,1.0530959367752075
lstm,0.01,5880,0.4258274435997009,0.5970031023025513,0.43673190474510193,0.6058028936386108
lstm,0.01,6505,0.9227131605148315,1.1077581644058228,0.946674108505249,1.1313748359680176
tsmixer,0.02,1216,0.5354068875312805,0.6541953086853027,0.5485085844993591,0.6820738315582275
tsmixer,0.02,1301,0.8300010561943054,1.0106080770492554,0.8762712478637695,1.078546166419983
tsmixer,0.02,1303,0.9128915071487427,1.0981687307357788,0.9601454138755798,1.1501030921936035
