number,value,state,duration,lr,num_blocks,dropout,hidden_size,ff_size
74,0.6321492791175842,COMPLETE,0 days 00:03:18.949705,0.0005237810615336871,1,0.1,16,64
75,0.6333051919937134,PRUNED,0 days 00:02:00.720817,0.0007889085773033916,1,0.1,16,64
76,0.649245023727417,PRUNED,0 days 00:01:00.090787,0.0009942542919466658,4,0.1,64,64
77,0.6378361582756042,PRUNED,0 days 00:00:39.817233,0.00028046346506500317,1,0.1,16,16
78,0.6322957873344421,COMPLETE,0 days 00:03:21.548753,0.000531436857344324,1,0.1,16,64
79,0.6364800930023193,PRUNED,0 days 00:01:19.895708,0.0003360359431411374,1,0.1,32,64
80,0.6414618492126465,PRUNED,0 days 00:00:39.370813,0.000630326621318257,1,0.2,16,32
81,0.6377982497215271,PRUNED,0 days 00:00:40.517934,0.0004816891630971445,1,0.1,16,64
82,0.6381287574768066,PRUNED,0 days 00:00:39.630109,0.0004295513920054372,1,0.1,16,64
83,0.6322817206382751,COMPLETE,0 days 00:03:22.993382,0.0007192763790611089,1,0.1,16,64
84,0.6386731266975403,PRUNED,0 days 00:00:39.242701,0.00037046276248783687,1,0.1,16,64
85,0.6326302289962769,PRUNED,0 days 00:02:02.364120,0.0005631663769307963,1,0.1,16,64
86,0.6392329931259155,PRUNED,0 days 00:00:40.797503,0.0004014419482532953,1,0.3,16,64
87,0.6377347707748413,PRUNED,0 days 00:00:40.945444,0.0005078617542701561,1,0.1,16,64
88,0.6378182172775269,PRUNED,0 days 00:00:46.796788,0.0006184090218874174,2,0.1,16,64
89,0.6327008605003357,PRUNED,0 days 00:02:01.240960,0.0008088199190614467,1,0.1,16,64
90,0.6406323909759521,PRUNED,0 days 00:00:59.921677,0.00045353392586230744,4,0.1,32,16
91,0.6387478113174438,PRUNED,0 days 00:00:39.993045,0.00035560204842641815,1,0.1,16,64
92,0.6393542885780334,PRUNED,0 days 00:00:39.309114,0.00029522060101415826,1,0.1,16,64
93,0.6383979916572571,PRUNED,0 days 00:00:38.945624,0.00039653309691821826,1,0.1,16,64
94,0.6401838660240173,PRUNED,0 days 00:00:38.921650,0.00024786059830447256,1,0.1,16,64
95,0.6335612535476685,PRUNED,0 days 00:01:19.913175,0.000545615404831553,1,0.1,16,64
96,0.6329028606414795,PRUNED,0 days 00:01:59.964114,0.0006804872575734294,1,0.1,16,64
97,0.6428059935569763,PRUNED,0 days 00:00:40.340738,0.00032820001391502664,1,0.1,64,64
98,0.6387441754341125,PRUNED,0 days 00:00:40.602133,0.00044417957484555544,1,0.2,16,64
99,0.6407889723777771,PRUNED,0 days 00:00:38.842678,0.0009582447613872755,1,0.1,16,32
