code,MAE_LSTM,RMSE_LSTM,MAE_GARCH,RMSE_GARCH
1216,0.46512705087661743,0.5963513255119324,0.5485085844993591,0.6820738315582275
1301,0.7374368906021118,0.9282061457633972,0.8762712478637695,1.078546166419983
1303,0.7863502502441406,0.9914209246635437,0.9601454138755798,1.1501030921936035
2002,0.553528368473053,0.7300300598144531,0.6866925358772278,0.863982617855072
2059,1.0236660242080688,1.2269240617752075,1.1810015439987183,1.4170018434524536
2207,0.5932733416557312,0.7669526934623718,0.7231748700141907,0.8825575709342957
2301,0.8483132719993591,1.0519932508468628,1.0498870611190796,1.2475385665893555
2303,0.6583384871482849,0.8204007744789124,0.8170953989028931,0.9747176766395569
2308,0.8749261498451233,1.069467544555664,1.067347526550293,1.2464393377304077
2317,0.8307734727859497,1.0297621488571167,0.9850314259529114,1.2150934934616089
2327,0.8028216361999512,0.9814249873161316,0.9699369072914124,1.1520271301269531
2330,0.7600892782211304,0.9391081929206848,0.9088300466537476,1.089837670326233
2345,0.98011314868927,1.1635586023330688,1.1196588277816772,1.3297722339630127
2357,0.8356907963752747,1.023563265800476,1.0453815460205078,1.2181895971298218
2379,0.7516534924507141,0.9345040321350098,0.9120796322822571,1.0735936164855957
2382,0.9109002947807312,1.0884414911270142,1.068758249282837,1.2685129642486572
2383,1.0123692750930786,1.2196563482284546,1.1919015645980835,1.413443684577942
2395,0.6900123357772827,0.8790382742881775,0.8813121318817139,1.0426667928695679
2412,0.2402557134628296,0.32645201683044434,0.2615495026111603,0.36577698588371277
2454,0.8956180810928345,1.0536478757858276,1.0340521335601807,1.1993886232376099
2603,0.852864682674408,1.054627537727356,1.0446815490722656,1.2535173892974854
2609,0.8686517477035522,1.0871751308441162,1.093719482421875,1.3239362239837646
2615,0.9497775435447693,1.1665641069412231,1.118981122970581,1.348950743675232
2880,0.46572351455688477,0.6230032444000244,0.5522464513778687,0.7114881277084351
2881,0.5645416975021362,0.7302905917167664,0.6598080396652222,0.8351045846939087
2882,0.6055347919464111,0.7930667400360107,0.7090858817100525,0.9102783799171448
2883,0.5816242098808289,0.7464146614074707,0.7154985666275024,0.8890195488929749
2884,0.4785490930080414,0.632466197013855,0.5538680553436279,0.7100064158439636
2885,0.5555521845817566,0.7257884740829468,0.6572471261024475,0.8183317184448242
2886,0.39762476086616516,0.5456690192222595,0.49081364274024963,0.6415642499923706
2887,0.5012125968933105,0.6932616233825684,0.6303420662879944,0.8327836990356445
2890,0.5264853239059448,0.6813080906867981,0.6439223289489746,0.7863202691078186
2891,0.5537919402122498,0.7217100262641907,0.6665655374526978,0.8478395938873291
2892,0.37287500500679016,0.5039697885513306,0.44627946615219116,0.6071978807449341
2912,0.34361839294433594,0.47109270095825195,0.4058469235897064,0.5384788513183594
3008,0.804294228553772,0.9916539788246155,0.9360012412071228,1.1315535306930542
3017,1.072941780090332,1.2563692331314087,1.247363805770874,1.4627763032913208
3034,0.6675127148628235,0.8180088400840759,0.7908655405044556,0.9714937210083008
3045,0.3884771168231964,0.5301952362060547,0.4333238899707794,0.5734009146690369
3231,0.9351298213005066,1.1044002771377563,1.0562843084335327,1.2525043487548828
3661,1.0846357345581055,1.3129568099975586,1.2509186267852783,1.5094571113586426
4904,0.4799082577228546,0.6349709033966064,0.568813681602478,0.7142841815948486
4938,0.6890748739242554,0.867607831954956,0.8542227149009705,1.0418936014175415
5871,0.7152698636054993,0.8858133554458618,0.86637943983078,1.0530959367752075
5880,0.34879735112190247,0.4951222538948059,0.43673190474510193,0.6058028936386108
6505,0.7796560525894165,0.964718222618103,0.946674108505249,1.1313748359680176
