code,MAE_LSTM,RMSE_LSTM,MAE_GARCH,RMSE_GARCH
1216,0.2453799992799759,0.369398832321167,0.5485085844993591,0.6820738315582275
1301,0.4146430790424347,0.5798184275627136,0.8762712478637695,1.078546166419983
1303,0.4518513083457947,0.6182699203491211,0.9601454138755798,1.1501030921936035
2002,0.31370311975479126,0.45424720644950867,0.6866925358772278,0.863982617855072
2059,0.4946540594100952,0.6559958457946777,1.1810015439987183,1.4170018434524536
2207,0.2793084383010864,0.40793317556381226,0.7231748700141907,0.8825575709342957
2301,0.4066673219203949,0.5636259913444519,1.0498870611190796,1.2475385665893555
2303,0.3492651879787445,0.5080816745758057,0.8170953989028931,0.9747176766395569
2308,0.4232885241508484,0.6032842397689819,1.067347526550293,1.2464393377304077
2317,0.39589953422546387,0.5522158741950989,0.9850314259529114,1.2150934934616089
2327,0.3872642517089844,0.558753252029419,0.9699369072914124,1.1520271301269531
2330,0.3537999391555786,0.5015878081321716,0.9088300466537476,1.089837670326233
2345,0.4447077810764313,0.6220893263816833,1.1196588277816772,1.3297722339630127
2357,0.3495778739452362,0.5064604878425598,1.0453815460205078,1.2181895971298218
2379,0.3493187725543976,0.5342430472373962,0.9120796322822571,1.0735936164855957
2382,0.4027438163757324,0.5697655081748962,1.068758249282837,1.2685129642486572
2383,0.4971187710762024,0.671525776386261,1.1919015645980835,1.413443684577942
2395,0.3336915671825409,0.4924071431159973,0.8813121318817139,1.0426667928695679
2412,0.13468152284622192,0.21929800510406494,0.2615495026111603,0.36577698588371277
2454,0.36284855008125305,0.5051444172859192,1.0340521335601807,1.1993886232376099
2603,0.3900001645088196,0.5570439696311951,1.0446815490722656,1.2535173892974854
2609,0.47655272483825684,0.6811824440956116,1.093719482421875,1.3239362239837646
2615,0.46372491121292114,0.6386544108390808,1.118981122970581,1.348950743675232
2880,0.24437877535820007,0.3744187355041504,0.5522464513778687,0.7114881277084351
2881,0.29217466711997986,0.4429457187652588,0.6598080396652222,0.8351045846939087
2882,0.30021142959594727,0.4652389585971832,0.7090858817100525,0.9102783799171448
2883,0.2759832441806793,0.3967883288860321,0.7154985666275024,0.8890195488929749
2884,0.2465367615222931,0.3746282160282135,0.5538680553436279,0.7100064158439636
2885,0.27181553840637207,0.40563786029815674,0.6572471261024475,0.8183317184448242
2886,0.22075387835502625,0.3589135706424713,0.49081364274024963,0.6415642499923706
2887,0.2453368604183197,0.4061661660671234,0.6303420662879944,0.8327836990356445
2890,0.28030166029930115,0.39577770233154297,0.6439223289489746,0.7863202691078186
2891,0.2890640199184418,0.4429357349872589,0.6665655374526978,0.8478395938873291
2892,0.2233944982290268,0.38643941283226013,0.44627946615219116,0.6071978807449341
2912,0.20923516154289246,0.33380457758903503,0.4058469235897064,0.5384788513183594
3008,0.4089798033237457,0.5673962831497192,0.9360012412071228,1.1315535306930542
3017,0.4935242831707001,0.6565427780151367,1.247363805770874,1.4627763032913208
3034,0.3043558597564697,0.4298459589481354,0.7908655405044556,0.9714937210083008
3045,0.1947035938501358,0.3144448697566986,0.4333238899707794,0.5734009146690369
3231,0.4470369219779968,0.6305633187294006,1.0562843084335327,1.2525043487548828
3661,0.5263505578041077,0.7590301632881165,1.2509186267852783,1.5094571113586426
4904,0.24271106719970703,0.36681392788887024,0.568813681602478,0.7142841815948486
4938,0.3235020935535431,0.5119954347610474,0.8542227149009705,1.0418936014175415
5871,0.33340615034103394,0.5140575170516968,0.86637943983078,1.0530959367752075
5880,0.19127501547336578,0.3551943302154541,0.43673190474510193,0.6058028936386108
6505,0.41700705885887146,0.5848830342292786,0.946674108505249,1.1313748359680176
