code,MAE_model,RMSE_model,MAE_garch,RMSE_garch
1216,0.5639019012451172,0.6862009167671204,0.5485085844993591,0.6820738315582275
1301,0.8401380181312561,1.0229562520980835,0.8762712478637695,1.078546166419983
1303,0.9159234762191772,1.0999484062194824,0.9601454138755798,1.1501030921936035
2002,0.6738487482070923,0.8526136875152588,0.6866925358772278,0.863982617855072
2059,1.1976655721664429,1.4317758083343506,1.1810015439987183,1.4170018434524536
2207,0.6746894121170044,0.8222903609275818,0.7231748700141907,0.8825575709342957
2301,1.0115110874176025,1.2024381160736084,1.0498870611190796,1.2475385665893555
2303,0.8280017375946045,0.9803459644317627,0.8170953989028931,0.9747176766395569
2308,1.019508957862854,1.1832207441329956,1.067347526550293,1.2464393377304077
2317,0.9461355805397034,1.1320163011550903,0.9850314259529114,1.2150934934616089
2327,0.9719499349594116,1.1377012729644775,0.9699369072914124,1.1520271301269531
2330,0.8425140380859375,1.0106427669525146,0.9088300466537476,1.089837670326233
2345,1.1091245412826538,1.3172141313552856,1.1196588277816772,1.3297722339630127
2357,0.9789219498634338,1.15047025680542,1.0453815460205078,1.2181895971298218
2379,0.9248020052909851,1.073582410812378,0.9120796322822571,1.0735936164855957
2382,1.0677814483642578,1.2538625001907349,1.068758249282837,1.2685129642486572
2383,1.1754554510116577,1.3947186470031738,1.1919015645980835,1.413443684577942
2395,0.8494890928268433,1.0062364339828491,0.8813121318817139,1.0426667928695679
2412,0.24668990075588226,0.3344811201095581,0.2615495026111603,0.36577698588371277
2454,1.0416932106018066,1.2027801275253296,1.0340521335601807,1.1993886232376099
2603,1.0419062376022339,1.2241867780685425,1.0446815490722656,1.2535173892974854
2609,1.0145939588546753,1.2128005027770996,1.093719482421875,1.3239362239837646
2615,1.1822673082351685,1.3957366943359375,1.118981122970581,1.348950743675232
2880,0.5286116003990173,0.6666426658630371,0.5522464513778687,0.7114881277084351
2881,0.6567313075065613,0.8044601678848267,0.6598080396652222,0.8351045846939087
2882,0.6804977655410767,0.8647991418838501,0.7090858817100525,0.9102783799171448
2883,0.7228461503982544,0.8843629956245422,0.7154985666275024,0.8890195488929749
2884,0.5357322096824646,0.6681772470474243,0.5538680553436279,0.7100064158439636
2885,0.6623654961585999,0.7975276708602905,0.6572471261024475,0.8183317184448242
2886,0.4630686640739441,0.6098512411117554,0.49081364274024963,0.6415642499923706
2887,0.5510860681533813,0.7347614169120789,0.6303420662879944,0.8327836990356445
2890,0.5873240828514099,0.7193304896354675,0.6439223289489746,0.7863202691078186
2891,0.6093498468399048,0.7698171138763428,0.6665655374526978,0.8478395938873291
2892,0.4311828315258026,0.5553627014160156,0.44627946615219116,0.6071978807449341
2912,0.39734309911727905,0.520730197429657,0.4058469235897064,0.5384788513183594
3008,0.9527396559715271,1.1293609142303467,0.9360012412071228,1.1315535306930542
3017,1.2288233041763306,1.4295530319213867,1.247363805770874,1.4627763032913208
3034,0.8019486665725708,0.9534712433815002,0.7908655405044556,0.9714937210083008
3045,0.4232345223426819,0.5585805177688599,0.4333238899707794,0.5734009146690369
3231,1.060608148574829,1.2605713605880737,1.0562843084335327,1.2525043487548828
3661,1.2229639291763306,1.4685006141662598,1.2509186267852783,1.5094571113586426
4904,0.5590379238128662,0.6906468272209167,0.568813681602478,0.7142841815948486
4938,0.8461199998855591,1.0195953845977783,0.8542227149009705,1.0418936014175415
5871,0.8633442521095276,1.0283724069595337,0.86637943983078,1.0530959367752075
5880,0.39612194895744324,0.548528254032135,0.43673190474510193,0.6058028936386108
6505,0.9040605425834656,1.0824679136276245,0.946674108505249,1.1313748359680176
