code,MAE_model,RMSE_model,MAE_garch,RMSE_garch,QLIKE_model,QLIKE_garch
1216,1.3457266092300415,3.4365382194519043,1.392501711845398,3.624887228012085,1.1229914426803589,1.1688166856765747
1301,3.0603151321411133,7.661184787750244,3.1512413024902344,7.951659679412842,1.7790478467941284,1.871649980545044
1303,3.690709352493286,9.203435897827148,3.786491870880127,9.271476745605469,1.9299471378326416,2.007244110107422
2002,2.9161064624786377,8.28302001953125,3.1348044872283936,8.292838096618652,1.7096160650253296,1.728081226348877
2059,7.262877941131592,14.265195846557617,7.433658123016357,14.383203506469727,2.7250664234161377,2.7770028114318848
2207,3.959996223449707,9.417810440063477,4.209136962890625,10.128387451171875,2.2599570751190186,2.3105697631835938
2301,4.8711042404174805,11.775354385375977,5.218207359313965,12.058722496032715,2.309493064880371,2.3730111122131348
2303,4.93813419342041,10.310659408569336,5.24137020111084,10.643199920654297,2.4296116828918457,2.449357271194458
2308,4.801527976989746,9.707276344299316,4.966585636138916,9.599878311157227,2.4725780487060547,2.503509521484375
2317,4.030910968780518,10.083040237426758,4.232759475708008,10.32194995880127,2.1132524013519287,2.21415114402771
2327,6.976019859313965,14.149009704589844,7.082321643829346,14.185903549194336,2.7446558475494385,2.7660107612609863
2330,3.611579179763794,8.42186164855957,3.838503122329712,8.615570068359375,2.2228171825408936,2.271824359893799
2345,8.935625076293945,16.049352645874023,9.222067832946777,16.281314849853516,3.1721067428588867,3.1732475757598877
2357,4.333314418792725,11.379205703735352,4.665764808654785,11.560114860534668,2.3148088455200195,2.3068618774414062
2379,5.415319442749023,10.384626388549805,5.64185905456543,10.494001388549805,2.6231954097747803,2.636641263961792
2382,5.437852382659912,12.617803573608398,5.569814682006836,12.613394737243652,2.384929656982422,2.3975038528442383
2383,8.975874900817871,16.518220901489258,9.539203643798828,16.700471878051758,3.1554114818573,3.160649538040161
2395,3.7017769813537598,8.459317207336426,3.8107049465179443,8.315860748291016,2.292485475540161,2.297804594039917
2412,0.47357773780822754,0.9931461215019226,0.4584299325942993,1.0395233631134033,0.17452268302440643,0.20964527130126953
2454,6.374881744384766,12.242206573486328,6.591562747955322,12.202752113342285,2.817880630493164,2.8023016452789307
2603,10.990914344787598,20.70745086669922,11.443331718444824,20.77539825439453,3.187563896179199,3.2135837078094482
2609,11.480834007263184,21.717750549316406,11.707619667053223,21.597646713256836,3.260425329208374,3.3576831817626953
2615,12.338062286376953,22.345979690551758,12.598006248474121,22.260723114013672,3.315760612487793,3.4030470848083496
2880,1.4928838014602661,5.782776355743408,1.49288010597229,5.149204730987549,1.1313745975494385,1.2258180379867554
2881,2.5654921531677246,6.637123107910156,2.6371536254882812,6.702157974243164,1.6606686115264893,1.7553824186325073
2882,2.5247154235839844,7.17308235168457,2.661982297897339,7.089112281799316,1.6638355255126953,1.7236937284469604
2883,2.867922306060791,8.087350845336914,2.8945744037628174,7.861990451812744,1.7814202308654785,1.9191967248916626
2884,1.8030893802642822,9.753012657165527,1.781661033630371,9.224276542663574,1.2107908725738525,1.2325719594955444
2885,2.2834012508392334,7.093434810638428,2.288797378540039,6.551041603088379,1.53867769241333,1.5633383989334106
2886,1.312292218208313,3.9521477222442627,1.2889728546142578,3.9567549228668213,1.1803072690963745,1.3066033124923706
2887,2.0085880756378174,7.4088592529296875,2.103283405303955,6.796877384185791,1.4373306035995483,1.566579818725586
2890,1.8717414140701294,5.800688743591309,1.9542393684387207,6.0529913902282715,1.3860373497009277,1.5006097555160522
2891,2.1684763431549072,6.339613437652588,2.1751441955566406,6.1467156410217285,1.556014895439148,1.6171907186508179
2892,1.3020107746124268,5.995229244232178,1.311429738998413,5.329071998596191,0.9424595236778259,1.076521396636963
2912,1.129702091217041,2.864633798599243,1.1668016910552979,3.0004303455352783,0.9930779933929443,1.0789583921432495
3008,5.613407611846924,12.671186447143555,5.886353969573975,12.485124588012695,2.6736185550689697,2.6824936866760254
3017,11.234236717224121,19.179182052612305,11.751310348510742,19.275222778320312,3.381253242492676,3.3996450901031494
3034,5.30920934677124,11.4496431350708,5.716324329376221,11.757805824279785,2.5975303649902344,2.611326217651367
3045,0.84892338514328,2.3912341594696045,0.7973132133483887,2.1893413066864014,0.544708251953125,0.6033675074577332
3231,6.1734514236450195,13.96267318725586,6.274683475494385,13.74653434753418,2.445406913757324,2.4562020301818848
3661,14.292229652404785,22.444128036499023,14.5233154296875,22.45456314086914,3.697310447692871,3.6943199634552
4904,1.2260814905166626,2.527158737182617,1.2067440748214722,2.571815013885498,0.9458789825439453,0.995704174041748
4938,2.6601932048797607,8.593649864196777,2.9798762798309326,9.03873062133789,1.6850723028182983,1.7741094827651978
5871,4.725520610809326,11.399572372436523,5.142840385437012,12.031195640563965,2.4020683765411377,2.4173943996429443
5880,1.0877217054367065,4.0015869140625,1.1474751234054565,4.009744644165039,1.0450292825698853,1.0791181325912476
6505,3.3554553985595703,7.739067554473877,3.5751845836639404,7.79744291305542,2.0489094257354736,2.0710320472717285
