code,MAE_model,RMSE_model,MAE_garch,RMSE_garch
1216,0.45317214727401733,0.595035195350647,0.5485085844993591,0.6820738315582275
1301,0.7201058268547058,0.925244152545929,0.8762712478637695,1.078546166419983
1303,0.775541365146637,0.9829019904136658,0.9601454138755798,1.1501030921936035
2002,0.5290042161941528,0.7277093529701233,0.6866925358772278,0.863982617855072
2059,1.0298793315887451,1.2268949747085571,1.1810015439987183,1.4170018434524536
2207,0.5734027028083801,0.7710457444190979,0.7231748700141907,0.8825575709342957
2301,0.8338245153427124,1.0560634136199951,1.0498870611190796,1.2475385665893555
2303,0.6617754697799683,0.849358320236206,0.8170953989028931,0.9747176766395569
2308,0.8650174140930176,1.0754574537277222,1.067347526550293,1.2464393377304077
2317,0.8171793818473816,1.0414361953735352,0.9850314259529114,1.2150934934616089
2327,0.8135091662406921,1.0180147886276245,0.9699369072914124,1.1520271301269531
2330,0.747776210308075,0.9465470314025879,0.9088300466537476,1.089837670326233
2345,0.9853711724281311,1.1735680103302002,1.1196588277816772,1.3297722339630127
2357,0.8170766830444336,1.0262019634246826,1.0453815460205078,1.2181895971298218
2379,0.7350806593894958,0.933622419834137,0.9120796322822571,1.0735936164855957
2382,0.9058204293251038,1.0875461101531982,1.068758249282837,1.2685129642486572
2383,1.0099406242370605,1.2213945388793945,1.1919015645980835,1.413443684577942
2395,0.6680295467376709,0.8875488042831421,0.8813121318817139,1.0426667928695679
2412,0.22566628456115723,0.32489410042762756,0.2615495026111603,0.36577698588371277
2454,0.8778887391090393,1.0547629594802856,1.0340521335601807,1.1993886232376099
2603,0.8486444354057312,1.056188702583313,1.0446815490722656,1.2535173892974854
2609,0.8382250666618347,1.090598702430725,1.093719482421875,1.3239362239837646
2615,0.9504081010818481,1.1779340505599976,1.118981122970581,1.348950743675232
2880,0.4450264275074005,0.6116499304771423,0.5522464513778687,0.7114881277084351
2881,0.5592846870422363,0.7373332381248474,0.6598080396652222,0.8351045846939087
2882,0.5916653871536255,0.7932218909263611,0.7090858817100525,0.9102783799171448
2883,0.5808508992195129,0.7663193345069885,0.7154985666275024,0.8890195488929749
2884,0.46273791790008545,0.6250969767570496,0.5538680553436279,0.7100064158439636
2885,0.5455746650695801,0.7378314733505249,0.6572471261024475,0.8183317184448242
2886,0.3814302086830139,0.5426377654075623,0.49081364274024963,0.6415642499923706
2887,0.46814703941345215,0.6851187348365784,0.6303420662879944,0.8327836990356445
2890,0.5129390954971313,0.6839228868484497,0.6439223289489746,0.7863202691078186
2891,0.5281664133071899,0.7222914099693298,0.6665655374526978,0.8478395938873291
2892,0.3673231899738312,0.5203518867492676,0.44627946615219116,0.6071978807449341
2912,0.3363052308559418,0.4786587357521057,0.4058469235897064,0.5384788513183594
3008,0.793059766292572,1.000902771949768,0.9360012412071228,1.1315535306930542
3017,1.074280023574829,1.2613152265548706,1.247363805770874,1.4627763032913208
3034,0.6575573682785034,0.8181831240653992,0.7908655405044556,0.9714937210083008
3045,0.37828683853149414,0.540856122970581,0.4333238899707794,0.5734009146690369
3231,0.9456910490989685,1.117458701133728,1.0562843084335327,1.2525043487548828
3661,1.0883616209030151,1.310336709022522,1.2509186267852783,1.5094571113586426
4904,0.45515403151512146,0.6284188032150269,0.568813681602478,0.7142841815948486
4938,0.6719328165054321,0.873201310634613,0.8542227149009705,1.0418936014175415
5871,0.7137904763221741,0.9038378000259399,0.86637943983078,1.0530959367752075
5880,0.3226463794708252,0.49051839113235474,0.43673190474510193,0.6058028936386108
6505,0.756593644618988,0.9676492810249329,0.946674108505249,1.1313748359680176
