code,MAE_model,RMSE_model,MAE_garch,RMSE_garch,QLIKE_model,QLIKE_garch
1216,1.2742321491241455,3.4746718406677246,1.392501711845398,3.6248867511749268,1.2252492904663086,1.1688166856765747
1301,3.1324057579040527,7.771037578582764,3.1512417793273926,7.951659202575684,1.8340386152267456,1.871649980545044
1303,3.646578788757324,9.258355140686035,3.786491870880127,9.271475791931152,1.9906188249588013,2.007244110107422
2002,2.945631265640259,8.401016235351562,3.1348044872283936,8.292838096618652,1.8193639516830444,1.728081226348877
2059,7.312754154205322,14.238046646118164,7.433656692504883,14.383199691772461,2.7472591400146484,2.7770025730133057
2207,4.03322172164917,9.80018138885498,4.209136486053467,10.128387451171875,2.553001642227173,2.3105697631835938
2301,4.902626991271973,11.539239883422852,5.218207359313965,12.058721542358398,2.5106799602508545,2.373011350631714
2303,4.861627578735352,10.377998352050781,5.24137020111084,10.643199920654297,2.5087153911590576,2.449357032775879
2308,4.851528644561768,9.554725646972656,4.966585159301758,9.59987735748291,2.5091960430145264,2.503509521484375
2317,4.150949478149414,10.268165588378906,4.232759475708008,10.32194995880127,2.163141965866089,2.2154879570007324
2327,6.958660125732422,14.203414916992188,7.082322597503662,14.185906410217285,2.8064162731170654,2.7660107612609863
2330,3.6981027126312256,8.418930053710938,3.838503837585449,8.615571975708008,2.274129867553711,2.271824598312378
2345,8.983777046203613,16.15011978149414,9.222066879272461,16.281314849853516,3.2247259616851807,3.1732473373413086
2357,4.480978488922119,11.312581062316895,4.665764808654785,11.560114860534668,2.3907439708709717,2.3068618774414062
2379,5.378108501434326,10.357335090637207,5.64185905456543,10.494002342224121,2.6780595779418945,2.6372244358062744
2382,5.528697490692139,12.5885591506958,5.569814682006836,12.613395690917969,2.4519433975219727,2.3975038528442383
2383,9.056344985961914,16.513002395629883,9.539202690124512,16.700469970703125,3.2247226238250732,3.160649538040161
2395,3.8117787837982178,8.457075119018555,3.8107047080993652,8.315860748291016,2.362290382385254,2.2988531589508057
2412,0.43273210525512695,0.9961608648300171,0.4584299325942993,1.0395233631134033,0.19723719358444214,0.20964527130126953
2454,6.439489841461182,12.170917510986328,6.591562747955322,12.202752113342285,2.862123489379883,2.8023016452789307
2603,10.98073959350586,20.56048583984375,11.443329811096191,20.7753963470459,3.2087297439575195,3.2135837078094482
2609,11.340331077575684,21.506771087646484,11.707618713378906,21.597644805908203,3.704512119293213,3.3576831817626953
2615,12.064146041870117,22.172624588012695,12.598002433776855,22.260719299316406,3.3938381671905518,3.4030466079711914
2880,1.43134343624115,5.789664268493652,1.49288010597229,5.149204254150391,1.3252202272415161,1.2236173152923584
2881,2.5723044872283936,6.636820316314697,2.6371536254882812,6.702158451080322,1.7361550331115723,1.7553824186325073
2882,2.597071647644043,7.242916107177734,2.661982297897339,7.089113235473633,2.5356404781341553,1.72369384765625
2883,2.8779337406158447,8.198596954345703,2.8945744037628174,7.861990451812744,1.9195094108581543,1.9191969633102417
2884,1.793652057647705,9.83010196685791,1.781661033630371,9.224273681640625,1.285951852798462,1.2325721979141235
2885,2.262453079223633,7.044153690338135,2.288797616958618,6.551041603088379,1.6108328104019165,1.5633383989334106
2886,1.329840064048767,3.9518675804138184,1.2889728546142578,3.9567558765411377,1.3952988386154175,1.3080060482025146
2887,1.999480128288269,7.380596160888672,2.103283405303955,6.796878337860107,1.5614714622497559,1.5665799379348755
2890,1.78928804397583,5.802473545074463,1.9542393684387207,6.052990436553955,1.7020007371902466,1.5006097555160522
2891,2.110089063644409,6.270463466644287,2.1751441955566406,6.146716117858887,1.8308039903640747,1.6187304258346558
2892,1.2885156869888306,5.908031463623047,1.311429738998413,5.329071044921875,1.0457782745361328,1.0778414011001587
2912,1.0932873487472534,2.8799080848693848,1.1668018102645874,3.0004303455352783,1.303578495979309,1.080243706703186
3008,5.801511287689209,12.680657386779785,5.886353969573975,12.485126495361328,2.872196912765503,2.6824936866760254
3017,11.377055168151855,19.14264488220215,11.751310348510742,19.275222778320312,3.4089620113372803,3.3996450901031494
3034,5.412024021148682,11.442548751831055,5.716324806213379,11.757808685302734,2.67500638961792,2.611326217651367
3045,0.8011972904205322,2.3884689807891846,0.7973130345344543,2.189340829849243,0.5839719176292419,0.6033675074577332
3231,6.167840480804443,14.006146430969238,6.274682521820068,13.74653148651123,2.4775562286376953,2.4562020301818848
3661,14.25279712677002,22.47613525390625,14.523316383361816,22.454566955566406,3.7002530097961426,3.6943206787109375
4904,1.1517754793167114,2.5529093742370605,1.2067439556121826,2.571815013885498,1.0237352848052979,0.995704174041748
4938,2.742705821990967,8.772153854370117,2.979876756668091,9.038731575012207,1.762540578842163,1.7741096019744873
5871,4.665994167327881,11.346651077270508,5.142840385437012,12.031195640563965,2.482903003692627,2.4173943996429443
5880,1.160212516784668,4.253335475921631,1.1474751234054565,4.009745121002197,2.274449586868286,1.079118251800537
6505,3.376314163208008,7.745715618133545,3.5751852989196777,7.797442436218262,2.0844593048095703,2.0710320472717285
