code,MAE_LSTM,RMSE_LSTM,MAE_GARCH,RMSE_GARCH
1216,0.48056501150131226,0.6083337664604187,0.5485085844993591,0.6820738315582275
1301,0.7556660175323486,0.937318742275238,0.8762712478637695,1.078546166419983
1303,0.8104287981987,1.001357078552246,0.9601454138755798,1.1501030921936035
2002,0.5776650905609131,0.7443078756332397,0.6866925358772278,0.863982617855072
2059,1.0403951406478882,1.2404130697250366,1.1810015439987183,1.4170018434524536
2207,0.6147841811180115,0.779362678527832,0.7231748700141907,0.8825575709342957
2301,0.8726931214332581,1.0671870708465576,1.0498870611190796,1.2475385665893555
2303,0.6845766305923462,0.8364005088806152,0.8170953989028931,0.9747176766395569
2308,0.9062160849571228,1.0849553346633911,1.067347526550293,1.2464393377304077
2317,0.8479284644126892,1.0381383895874023,0.9850314259529114,1.2150934934616089
2327,0.8295463919639587,1.000422477722168,0.9699369072914124,1.1520271301269531
2330,0.7842368483543396,0.9558237791061401,0.9088300466537476,1.089837670326233
2345,1.000372052192688,1.1758917570114136,1.1196588277816772,1.3297722339630127
2357,0.8660433292388916,1.0446075201034546,1.0453815460205078,1.2181895971298218
2379,0.7761812806129456,0.9461446404457092,0.9120796322822571,1.0735936164855957
2382,0.9309268593788147,1.1047286987304688,1.068758249282837,1.2685129642486572
2383,1.028178095817566,1.228075623512268,1.1919015645980835,1.413443684577942
2395,0.7171575427055359,0.8967874050140381,0.8813121318817139,1.0426667928695679
2412,0.24449950456619263,0.32979682087898254,0.2615495026111603,0.36577698588371277
2454,0.912614107131958,1.0624791383743286,1.0340521335601807,1.1993886232376099
2603,0.8737170696258545,1.0705804824829102,1.0446815490722656,1.2535173892974854
2609,0.9024804830551147,1.1088290214538574,1.093719482421875,1.3239362239837646
2615,0.9717099070549011,1.1783814430236816,1.118981122970581,1.348950743675232
2880,0.4820760190486908,0.6348180770874023,0.5522464513778687,0.7114881277084351
2881,0.5793024301528931,0.7350031733512878,0.6598080396652222,0.8351045846939087
2882,0.6170876026153564,0.7998369336128235,0.7090858817100525,0.9102783799171448
2883,0.6064658761024475,0.7622708678245544,0.7154985666275024,0.8890195488929749
2884,0.49211782217025757,0.6384716033935547,0.5538680553436279,0.7100064158439636
2885,0.5725501179695129,0.729636549949646,0.6572471261024475,0.8183317184448242
2886,0.4139481782913208,0.5565295219421387,0.49081364274024963,0.6415642499923706
2887,0.5240646600723267,0.7078319787979126,0.6303420662879944,0.8327836990356445
2890,0.5434862375259399,0.6882123947143555,0.6439223289489746,0.7863202691078186
2891,0.5762889981269836,0.7360185384750366,0.6665655374526978,0.8478395938873291
2892,0.3845933675765991,0.5130477547645569,0.44627946615219116,0.6071978807449341
2912,0.35331130027770996,0.4781182110309601,0.4058469235897064,0.5384788513183594
3008,0.8195053935050964,1.0013641119003296,0.9360012412071228,1.1315535306930542
3017,1.0951753854751587,1.2716970443725586,1.247363805770874,1.4627763032913208
3034,0.684924304485321,0.833909273147583,0.7908655405044556,0.9714937210083008
3045,0.395927757024765,0.5362238883972168,0.4333238899707794,0.5734009146690369
3231,0.9493495225906372,1.1167421340942383,1.0562843084335327,1.2525043487548828
3661,1.094429612159729,1.3200669288635254,1.2509186267852783,1.5094571113586426
4904,0.4979085624217987,0.6455615162849426,0.568813681602478,0.7142841815948486
4938,0.7140939831733704,0.8831542730331421,0.8542227149009705,1.0418936014175415
5871,0.7317947149276733,0.8967587351799011,0.86637943983078,1.0530959367752075
5880,0.36113443970680237,0.508138120174408,0.43673190474510193,0.6058028936386108
6505,0.8029764890670776,0.980102002620697,0.946674108505249,1.1313748359680176
