code,MAE_model,RMSE_model,MAE_garch,RMSE_garch
1216,0.5348082780838013,0.6537485718727112,0.5485085844993591,0.6820738315582275
1301,0.8340391516685486,1.0145432949066162,0.8762712478637695,1.078546166419983
1303,0.9163128137588501,1.1003121137619019,0.9601454138755798,1.1501030921936035
2002,0.621588945388794,0.7850313186645508,0.6866925358772278,0.863982617855072
2059,1.1904969215393066,1.426832914352417,1.1810015439987183,1.4170018434524536
2207,0.7092700004577637,0.8665074706077576,0.7231748700141907,0.8825575709342957
2301,0.9934691190719604,1.1802650690078735,1.0498870611190796,1.2475385665893555
2303,0.8006432056427002,0.9475640654563904,0.8170953989028931,0.9747176766395569
2308,1.0258184671401978,1.1914809942245483,1.067347526550293,1.2464393377304077
2317,0.9200548529624939,1.105326533317566,0.9850314259529114,1.2150934934616089
2327,0.9706979393959045,1.1371228694915771,0.9699369072914124,1.1520271301269531
2330,0.8397347927093506,1.006944179534912,0.9088300466537476,1.089837670326233
2345,1.1096043586730957,1.313429355621338,1.1196588277816772,1.3297722339630127
2357,0.9769430756568909,1.1399595737457275,1.0453815460205078,1.2181895971298218
2379,0.9067404270172119,1.0497291088104248,0.9120796322822571,1.0735936164855957
2382,1.0497486591339111,1.227048635482788,1.068758249282837,1.2685129642486572
2383,1.1420910358428955,1.35103440284729,1.1919015645980835,1.413443684577942
2395,0.8386631011962891,0.9951542615890503,0.8813121318817139,1.0426667928695679
2412,0.2492004930973053,0.34090328216552734,0.2615495026111603,0.36577698588371277
2454,1.0232517719268799,1.1792289018630981,1.0340521335601807,1.1993886232376099
2603,1.00118887424469,1.1870546340942383,1.0446815490722656,1.2535173892974854
2609,1.0214533805847168,1.2167587280273438,1.093719482421875,1.3239362239837646
2615,1.166639804840088,1.380295991897583,1.118981122970581,1.348950743675232
2880,0.5426205396652222,0.6759358048439026,0.5522464513778687,0.7114881277084351
2881,0.6600167751312256,0.8070670366287231,0.6598080396652222,0.8351045846939087
2882,0.6695160865783691,0.8478425741195679,0.7090858817100525,0.9102783799171448
2883,0.6860437393188477,0.8366314768791199,0.7154985666275024,0.8890195488929749
2884,0.5577334761619568,0.681014895439148,0.5538680553436279,0.7100064158439636
2885,0.6494262218475342,0.786289393901825,0.6572471261024475,0.8183317184448242
2886,0.4522068202495575,0.5937471389770508,0.49081364274024963,0.6415642499923706
2887,0.5547515749931335,0.7314712405204773,0.6303420662879944,0.8327836990356445
2890,0.5942443013191223,0.7250091433525085,0.6439223289489746,0.7863202691078186
2891,0.6009389758110046,0.7640999555587769,0.6665655374526978,0.8478395938873291
2892,0.4408247470855713,0.562723696231842,0.44627946615219116,0.6071978807449341
2912,0.4204815626144409,0.5415820479393005,0.4058469235897064,0.5384788513183594
3008,0.9770772457122803,1.1613893508911133,0.9360012412071228,1.1315535306930542
3017,1.227869987487793,1.4246340990066528,1.247363805770874,1.4627763032913208
3034,0.7945594191551208,0.9463817477226257,0.7908655405044556,0.9714937210083008
3045,0.4302937388420105,0.5641508102416992,0.4333238899707794,0.5734009146690369
3231,1.058189868927002,1.2588738203048706,1.0562843084335327,1.2525043487548828
3661,1.2251310348510742,1.4808059930801392,1.2509186267852783,1.5094571113586426
4904,0.5532057881355286,0.6856752634048462,0.568813681602478,0.7142841815948486
4938,0.8119887709617615,0.9791567325592041,0.8542227149009705,1.0418936014175415
5871,0.875849723815918,1.0376547574996948,0.86637943983078,1.0530959367752075
5880,0.3783685863018036,0.5290441513061523,0.43673190474510193,0.6058028936386108
6505,0.888771116733551,1.0655872821807861,0.946674108505249,1.1313748359680176
