code,MAE_model,RMSE_model,MAE_garch,RMSE_garch,QLIKE_model,QLIKE_garch
1216,1.1609115600585938,3.4805290699005127,1.392501711845398,3.624887228012085,1.2251495122909546,1.1688166856765747
1301,2.6883721351623535,7.9946818351745605,3.1512413024902344,7.951659679412842,2.0110085010528564,1.871649980545044
1303,3.2543978691101074,9.835447311401367,3.786491870880127,9.271476745605469,2.186079740524292,2.007244110107422
2002,2.587956666946411,8.940262794494629,3.1348044872283936,8.292838096618652,1.9951324462890625,1.728081226348877
2059,6.443270206451416,14.958100318908691,7.433658123016357,14.383203506469727,3.070042848587036,2.7770028114318848
2207,3.578684091567993,10.196596145629883,4.209136962890625,10.128387451171875,2.5522470474243164,2.3105697631835938
2301,4.250426769256592,12.325949668884277,5.218207359313965,12.058722496032715,2.677788019180298,2.3730111122131348
2303,4.350515842437744,10.546987533569336,5.24137020111084,10.643199920654297,2.704721689224243,2.449357271194458
2308,4.264750957489014,10.126466751098633,4.966585636138916,9.599878311157227,2.767181634902954,2.503509521484375
2317,3.561774969100952,10.771512985229492,4.232759475708008,10.32194995880127,2.507572889328003,2.21415114402771
2327,5.984391212463379,14.883840560913086,7.082321643829346,14.185903549194336,3.1354405879974365,2.7660107612609863
2330,3.2654407024383545,8.687664031982422,3.838503122329712,8.615570068359375,2.42317271232605,2.271824359893799
2345,7.896337985992432,16.797969818115234,9.222067832946777,16.281314849853516,3.621281385421753,3.1732475757598877
2357,3.8532986640930176,11.777235984802246,4.665764808654785,11.560114860534668,2.646730422973633,2.3068618774414062
2379,4.800539016723633,10.695276260375977,5.64185905456543,10.494001388549805,2.9095242023468018,2.636641263961792
2382,4.8452935218811035,13.268937110900879,5.569814682006836,12.613394737243652,2.763835906982422,2.3975038528442383
2383,7.980960845947266,17.195100784301758,9.539203643798828,16.700471878051758,3.6052157878875732,3.160649538040161
2395,3.246952533721924,8.643054962158203,3.8107049465179443,8.315860748291016,2.5544164180755615,2.297804594039917
2412,0.4134702980518341,0.9920645356178284,0.4584299325942993,1.0395233631134033,0.18688252568244934,0.20964527130126953
2454,5.711687088012695,12.69727611541748,6.591562747955322,12.202752113342285,3.131328582763672,2.8023016452789307
2603,9.97064208984375,22.097515106201172,11.443331718444824,20.77539825439453,3.633610725402832,3.2135837078094482
2609,10.388776779174805,22.883426666259766,11.707619667053223,21.597646713256836,3.764631748199463,3.3576831817626953
2615,11.244725227355957,23.95699119567871,12.598006248474121,22.260723114013672,3.8770599365234375,3.4030470848083496
2880,1.2865748405456543,5.895353317260742,1.49288010597229,5.149204730987549,1.3361644744873047,1.2258180379867554
2881,2.1974472999572754,6.874079704284668,2.6371536254882812,6.702157974243164,1.9060323238372803,1.7553824186325073
2882,2.1895060539245605,7.400207996368408,2.661982297897339,7.089112281799316,1.8959987163543701,1.7236937284469604
2883,2.409985065460205,8.409822463989258,2.8945744037628174,7.861990451812744,2.1223292350769043,1.9191967248916626
2884,1.5762883424758911,10.014705657958984,1.781661033630371,9.224276542663574,1.468592882156372,1.2325719594955444
2885,2.0217766761779785,7.431430339813232,2.288797378540039,6.551041603088379,1.7465656995773315,1.5633383989334106
2886,1.1338062286376953,4.007696151733398,1.2889728546142578,3.9567549228668213,1.3239556550979614,1.3066033124923706
2887,1.7590436935424805,7.644132137298584,2.103283405303955,6.796877384185791,1.6292715072631836,1.566579818725586
2890,1.6257147789001465,5.943090915679932,1.9542393684387207,6.0529913902282715,1.6314128637313843,1.5006097555160522
2891,1.8876672983169556,6.523707866668701,2.1751441955566406,6.1467156410217285,1.7833447456359863,1.6171907186508179
2892,1.1452494859695435,6.169931888580322,1.311429738998413,5.329071998596191,1.1090540885925293,1.076521396636963
2912,0.9805551171302795,2.8819310665130615,1.1668016910552979,3.0004303455352783,1.1135454177856445,1.0789583921432495
3008,4.986213684082031,13.126538276672363,5.886353969573975,12.485124588012695,3.011765718460083,2.6824936866760254
3017,9.909626007080078,20.11351203918457,11.751310348510742,19.275222778320312,3.8430089950561523,3.3996450901031494
3034,4.716371536254883,11.692112922668457,5.716324329376221,11.757805824279785,2.8637399673461914,2.611326217651367
3045,0.7396532297134399,2.496210813522339,0.7973132133483887,2.1893413066864014,0.6315469741821289,0.6033675074577332
3231,5.5395612716674805,14.75644588470459,6.274683475494385,13.74653434753418,2.8074967861175537,2.4562020301818848
3661,12.462386131286621,23.335372924804688,14.5233154296875,22.45456314086914,4.1013898849487305,3.6943199634552
4904,1.0452553033828735,2.5678060054779053,1.2067440748214722,2.571815013885498,1.0521728992462158,0.995704174041748
4938,2.3302133083343506,8.922308921813965,2.9798762798309326,9.03873062133789,1.9768911600112915,1.7741094827651978
5871,4.173187732696533,11.729680061340332,5.142840385437012,12.031195640563965,2.6746888160705566,2.4173943996429443
5880,0.9795791506767273,4.009841442108154,1.1474751234054565,4.009744644165039,1.0765763521194458,1.0791181325912476
6505,2.9876973628997803,7.9423675537109375,3.5751845836639404,7.79744291305542,2.2599947452545166,2.0710320472717285
