,log_return,var_true_90,garch_var_90
alpha114,0.03865667521724982,0.0901314034036221,0.0027133684684531928
alpha115,0.11385602402756995,0.3300581007179146,0.08356397157941348
alpha116,-0.01599139609012313,-0.024457463478781107,0.0091296120648328
alpha117,0.03183089429001774,0.12322842907389876,-0.005905450075438393
alpha118,0.028666930515058555,0.11748827754309892,0.12409204988760149
alpha119,0.02993230913990116,0.10464324926998177,0.07193049642378901
alpha120,0.1017450818467386,0.3362235666844686,0.07382379349159574
alpha121,0.012542343169717005,0.08708521806760568,0.17840942186276065
alpha122,0.06969817056480343,0.2161464686967275,0.11405841475599626
alpha123,0.018512836367110236,0.07423324986310942,0.08614915587756897
alpha124,0.01086335539858894,0.052947554200584154,0.04150024577688991
alpha125,0.007937843520494666,0.042877006928814396,0.032740490119473165
alpha126,0.01590731698087793,0.05198441980698129,-0.04646411923447694
alpha127,0.0720872109497256,0.223120590506349,-0.008219772207343379
alpha128,0.10628548537189317,0.29194711137838747,0.08585317754387913
alpha130,0.056657686610990354,0.1861421357827397,0.061992682508133196
alpha131,0.07180637820403286,0.23880157628800652,-0.016153003315750085
alpha132,0.018885594612054222,0.11254167139234839,0.1339345220086862
alpha133,0.03744042597010513,0.051514320708290665,-0.03192181057340232
alpha134,0.041654452607564584,0.09091079573376928,0.034409260805695834
alpha135,0.03152514088361542,0.1174525818433582,0.053592213579593186
alpha136,-0.007438612137857267,-0.04422419856000061,-0.018595436794265074
alpha137,0.021732363312818758,0.059893133599304045,0.046179092343229595
alpha138,0.024770590884001617,0.0768044438748849,0.08352504899691766
alpha139,0.023464545426652002,0.10634871412230767,0.10513579976515663
alpha140,-0.02493368013356263,-0.11520336644775674,-0.046734717177872004
alpha141,0.07336021789098739,0.2079294744878311,0.038939250856677154
alpha142,0.06612437142794274,0.19751788955473665,0.10978478542333657
alpha143,0.0821230439014436,0.2412518515789219,-0.039316708459215984
alpha144,0.026331798034001132,0.08710220269656586,0.05325732863478726
alpha145,0.07306079932083512,0.24522033325418496,0.02183438552339238
alpha146,0.04326456655463542,0.10982089091380826,0.0482161798948301
alpha147,0.17601758552178076,-0.017772472711316878,0.01873518071650566
alpha148,-0.33069514688613355,0.13996477968567814,0.022981805680722726
alpha149,0.06466035902974569,-0.002848043152244142,-0.0013493059761357671
alpha150,-0.6318061612864859,0.1334401245784219,0.02427046917065886
alpha151,0.03795880676396227,0.1508743604120908,0.1141553990813311
alpha152,0.011382129487732023,0.08860182520451598,0.1831558988168706
alpha154,0.015111541030439272,0.06617265030870563,-0.041010056755678786
alpha155,0.020812833152666237,0.07311149259845885,0.06425340469676454
alpha156,0.024770590884001617,0.0768044438748849,0.08352504899691766
alpha158,0.06303714232068477,0.21237527646870805,0.2473842061861597
alpha159,0.1137631028202452,0.33634294802389053,0.06349834075990411
alpha160,0.09392645079155117,0.3185478123696475,0.03950183153891819
alpha161,0.04933893437314022,0.22542702746092974,0.20257302346641642
alpha162,0.18637631062498222,-0.025575535573398932,-0.006055750451339923
alpha163,-0.014461485007722914,-0.054955928369717126,-0.04709284307477029
alpha164,0.012166485529750134,0.08864046611934259,0.17876704519042566
alpha165,0.02258063824735994,0.10479990349231073,0.12318666977817432
alpha166,0.19162779749636955,-0.026429208720696217,-0.008883970801681934
alpha167,0.3920788803887202,0.13939462438087405,-0.00938748737974565
alpha168,0.0738976373428253,0.01904327030833394,0.05110120000828983
alpha169,0.015483961375563196,-0.00025892577465440434,-0.012499417749487493
alpha170,0.033055744907031184,-0.03138576003181358,-0.05145475838048548
alpha171,0.024123851165626986,0.0863680669009,0.05698452348388301
