alpha_decile,mean,std,count
0.0,0.059944495603164824,2.001424363578523,83845
1.0,0.0585114717426328,1.970256025641338,49689
2.0,0.024960578362084464,1.997159383898477,49092
3.0,0.06035186856081212,2.0349212421069693,33377
4.0,-0.002110485865223786,2.005824733644487,10696
5.0,0.08798162645641268,2.1793743900748637,1362
6.0,0.506596761356766,2.5405396732986274,82
9.0,-0.12628547214872982,1.4469561000502658,2
