,non_null,mean,std,min,max
alpha109,227479,2.9095773752816854,3.696763075799418,1.0,790.4587628865979
alpha110,228346,0.048618105856901364,0.42888820153818247,-0.95,0.95
alpha111,228564,0.22600518746510995,0.09765080536314304,0.0,0.6842619745845552
alpha112,228346,0.5182374554404282,0.2986911699069183,0.05,1.0
alpha113,228346,7972.304656179248,13591.228588132108,0.0,427909.8325337514
alpha114,228760,-2.464735967826543,37031.21061441863,-3810312.0,1929301.0
alpha115,227426,1.021119098219735,0.6768667801451843,0.0,30.63992607207972
alpha116,228339,0.33127872325725355,0.09033747621370006,0.05,0.7302360225315395
alpha117,226506,0.19097065861389986,0.3930668496203223,0.0,1.0
alpha118,227932,0.5703016689188003,0.9629324399709517,0.0,10.0
alpha119,226966,0.8231861978790072,0.3984965381005427,0.0,2.253592643074548
alpha120,226506,0.014635947536259936,1.073371880659811,-2.776706831333154,7.613155024334398
alpha121,228346,15772.760097229226,24628.81102548241,0.0,601488.8761904761
alpha122,226232,0.47653469737510595,3.172294637513996,-1.0,581.0
alpha123,226506,1.003642878018315,0.25555836487565803,0.0,2.610678173178173
alpha124,227886,19.39056019237689,8736.037564727083,-307461.1,284915.8333333333
alpha125,228070,15.126967569560856,6945.688274800512,-229649.7564102564,197359.37179487175
alpha126,228300,0.4823703460359176,0.07435844207691468,0.0,0.8
alpha127,228945,0.17095153438739347,1.2354939141009735,-1.0,347.3333333333333
alpha128,228232,1.1861028354989698,0.9339743932919484,0.0,117.68917881811204
alpha130,227426,0.18413417990906933,0.3131409867998895,0.0,1.0
alpha131,228339,2.2052488456030024,1.207615615815444,0.0,8.599843678167783
alpha132,227479,2.875407535452086,2.6652279619482244,1.020656871218669,192.05670103092783
alpha133,229220,0.5112162987522904,0.28860291590020015,0.0217391304347826,1.0
alpha134,229220,1.3001623936696324e-13,22014.955849228463,-500418.0,1831881.9
alpha135,228346,10.34974556156009,5.957191535191637,1.0,20.0
alpha136,228346,10.596616538060662,6.026810604424656,1.0,20.0
alpha137,228339,1.9639879961491917,0.8807289527782247,0.4636068613815485,20.0
alpha138,228339,0.5056658876781631,0.19568276640017848,0.1185992598480239,4.472135955006047
alpha139,226966,1.0081888235274554,0.34066418091062567,0.0,4.123379322559541
alpha140,228214,1.0975003839416555,0.37345299734474385,0.25,18.28638348189921
alpha141,226506,55.89053115590755,18730.297851968186,-379917.38333333336,1872354.2333333332
alpha142,228339,21394.93647894439,94376.18206389777,0.0,28477740.558604904
alpha143,228911,8.141492709495651e-05,0.5337344719249887,-3.7999735016195233,5.853159875730801
alpha144,227472,0.5119854311739467,0.3450709540965843,0.05,1.0
alpha145,228339,0.021134218157740945,1.436538903705746,-5.025519202690845,4.882702594299299
alpha146,228346,10.370499154791412,5.962782463511435,1.0,20.0
alpha147,228990,8372.819616506747,294496.87062603905,-20164347.35915401,21762532.666800007
alpha148,228346,0.22406413950758933,0.31801474533503993,0.0,1.0
alpha149,227410,-0.0007649377010819553,0.5095668930402001,-1.70802772120573,1.6870907379747082
alpha150,228346,0.22541526893398617,0.31987084844410546,0.0,1.0
alpha151,227886,1.0096062086188713,0.38183263435727016,0.0,6.0
alpha152,226506,47346.06987430797,71167.53055024351,211.81666666666663,1710334.0833333335
alpha154,226506,0.3366555411335682,0.3534203140202908,0.0,1.0
alpha155,228303,1.3495300588774817,1.6338957334246527,0.0,124.8395387743698
alpha156,228339,0.5056658876781631,0.19568276640017848,0.1185992598480239,4.472135955006047
alpha158,229220,2.496705194972361e-07,6.745710904987338e-07,0.0,3.854112657952974e-05
alpha159,228339,0.05095197025412281,0.030118989084517787,0.0,1.0
alpha160,228339,0.2185426711779595,1.0626818252994843,-3.2931760507251684,4.485869272913351
alpha161,229220,23362.63811834205,28014.728910630372,0.0,1947673.0
alpha162,228346,0.27045066012024305,16.307389173707556,-787.5921900000001,592.9231770000001
alpha163,226506,0.6165134698418585,0.48623621331574757,0.0,1.0
alpha164,228806,15766.314012307368,25195.44661809816,0.0,650329.1
alpha165,227472,0.14172117887036645,0.10707801057560719,0.0,0.85
alpha166,228339,0.5417654291175815,33.24596977178753,-3570.870401714587,1185.5223119655946
alpha167,228806,0.5597934494724789,0.22877041359592473,0.1,1.0
alpha168,228293,0.2001331622082149,0.9797708519301482,-1.0,1.0
alpha169,228346,1512.5879028144996,53704.81512283136,-4496578.575494203,2954428.16226552
alpha170,228339,0.03651623501854703,7.61201902722564,-333.4294854786277,266.90726681822014
alpha171,226966,0.3047857388331292,0.46031763579432233,0.0,1.0
