code,MAE_model,RMSE_model,MAE_garch,RMSE_garch
1216,0.4776383936405182,0.5934730768203735,0.5163118839263916,0.6557609438896179
1301,0.6336906552314758,0.7974454760551453,0.6918156743049622,0.8809566497802734
1303,0.6778013110160828,0.8397479057312012,0.7492167949676514,0.9293029308319092
2002,0.6080585718154907,0.7745344042778015,0.6811156272888184,0.8553879857063293
2059,0.9073150753974915,1.0985816717147827,1.0020122528076172,1.215039849281311
2207,0.7577491402626038,0.9130919575691223,0.8318331837654114,0.9980210065841675
2301,0.765618622303009,0.9472286701202393,0.8914391398429871,1.0853058099746704
2303,0.8136806488037109,0.9838352203369141,0.9159509539604187,1.118886113166809
2308,0.841202437877655,0.9932147264480591,0.9380655884742737,1.1002318859100342
2317,0.722832202911377,0.8928051590919495,0.8234390616416931,1.0171372890472412
2327,0.9044662117958069,1.0730692148208618,1.016133189201355,1.21016263961792
2330,0.7326050400733948,0.8835893273353577,0.8225094676017761,0.9893990159034729
2345,1.0084474086761475,1.1885284185409546,1.1309149265289307,1.331432580947876
2357,0.7705367207527161,0.9362762570381165,0.8689993619918823,1.0449410676956177
2379,0.8880285024642944,1.0481098890304565,0.9874782562255859,1.1550226211547852
2382,0.7967541217803955,0.9792439937591553,0.8810344934463501,1.0798540115356445
2383,1.009889006614685,1.1907964944839478,1.1484301090240479,1.3493471145629883
2395,0.7577157616615295,0.908236026763916,0.8436217308044434,0.9984472393989563
2412,0.2688565254211426,0.3490210473537445,0.26829057931900024,0.3660832643508911
2454,0.922917366027832,1.0826700925827026,1.0401883125305176,1.2065658569335938
2603,0.9940255880355835,1.1960638761520386,1.1286883354187012,1.3737835884094238
2609,0.9708319902420044,1.1801526546478271,1.086543321609497,1.3392257690429688
2615,1.019060492515564,1.2253987789154053,1.1534416675567627,1.4013478755950928
2880,0.479606032371521,0.611276388168335,0.5055437088012695,0.6577703952789307
2881,0.6275620460510254,0.7689610123634338,0.6855998039245605,0.8475203514099121
2882,0.6208776235580444,0.7659705877304077,0.684711754322052,0.8461787104606628
2883,0.6325883269309998,0.7857622504234314,0.7137433886528015,0.88230961561203
2884,0.5080044865608215,0.6448595523834229,0.527800440788269,0.6847890019416809
2885,0.5796961784362793,0.7171216607093811,0.6127128005027771,0.7635498046875
2886,0.4635299742221832,0.5843895077705383,0.4938274919986725,0.6276913285255432
2887,0.5371387600898743,0.6850214004516602,0.5877852439880371,0.7562525272369385
2890,0.5481812953948975,0.6815042495727539,0.5916213393211365,0.7449328303337097
2891,0.5754017233848572,0.7145910263061523,0.6131783723831177,0.7682612538337708
2892,0.4354614317417145,0.5615807175636292,0.4494658410549164,0.5964761972427368
2912,0.43479982018470764,0.5534385442733765,0.46562159061431885,0.6058087944984436
3008,0.8766595721244812,1.0475205183029175,0.9993650913238525,1.179602861404419
3017,1.072891116142273,1.2453993558883667,1.2260185480117798,1.4315904378890991
3034,0.8577406406402588,1.0216741561889648,0.9747594594955444,1.1542692184448242
3045,0.37147077918052673,0.47224244475364685,0.37149977684020996,0.4868551790714264
3231,0.8228747844696045,1.0087813138961792,0.9083535671234131,1.116077184677124
3661,1.116024136543274,1.3355637788772583,1.255626916885376,1.5139880180358887
4904,0.4541928470134735,0.5724076628684998,0.47282496094703674,0.6070178151130676
4938,0.605155348777771,0.7640696167945862,0.6781397461891174,0.8771780729293823
5871,0.804002046585083,0.9635552167892456,0.9041508436203003,1.0904216766357422
5880,0.4264897108078003,0.5447469353675842,0.4611865282058716,0.5972665548324585
6505,0.7012899518013,0.8561797142028809,0.7808890342712402,0.9550004601478577
